Armstrong,Briscoe,Carson,Castro,Childress,Collingsworth,Dallam,Deaf Smith,Donley,Gray,Hall,Hansford,Hartley,Hemphill,Hutchinson,Lipscomb,Moore,Ochiltree,Oldham,Potter,Randall,Roberts,Sherman,Swisher,Wheeler
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0
0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,1,0
0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,5,6,0,0,1,0
0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,5,6,0,0,1,0
0,0,0,8,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,10,6,0,0,1,0
0,0,0,8,0,0,0,2,1,1,0,0,0,0,0,0,6,0,2,16,17,0,0,1,0
0,0,0,9,0,0,0,3,5,1,0,0,0,0,0,0,6,0,2,21,21,0,0,1,0
0,0,0,10,0,0,0,5,5,5,0,0,0,1,2,0,6,0,2,24,24,0,0,1,0
0,0,0,10,0,0,0,5,7,5,0,0,0,1,2,0,6,0,2,40,34,0,0,1,0
0,0,0,10,0,0,1,7,7,9,0,1,0,1,2,0,6,0,2,40,36,0,0,1,0
0,0,0,10,0,0,1,7,7,9,0,1,0,1,2,0,7,0,3,41,36,0,0,1,0
0,0,0,10,0,0,1,7,13,11,0,1,0,1,2,0,9,0,3,47,40,0,0,2,0
0,0,0,10,0,0,1,7,14,12,0,1,0,1,2,0,15,0,3,58,52,0,0,2,0
0,0,0,10,0,0,1,7,21,12,0,1,0,1,2,0,21,0,3,59,56,0,0,3,0
0,0,0,10,0,0,1,7,23,13,0,1,0,1,2,0,21,0,3,66,60,0,0,3,0
0,0,0,11,0,0,1,7,22,13,0,1,0,1,2,0,22,0,3,70,64,0,0,4,0
0,0,0,11,0,0,1,8,22,13,0,1,0,1,3,0,22,0,3,70,64,0,0,4,0
