date,county,state,fips,cases,deaths
2020-03-21,Castro,Texas,48069,1,0
2020-03-21,Deaf Smith,Texas,48117,1,0
2020-03-21,Oldham,Texas,48359,1,0
2020-03-21,Potter,Texas,48375,2,0
2020-03-22,Castro,Texas,48069,1,0
2020-03-22,Deaf Smith,Texas,48117,1,0
2020-03-22,Oldham,Texas,48359,1,0
2020-03-22,Potter,Texas,48375,2,0
2020-03-23,Castro,Texas,48069,1,0
2020-03-23,Deaf Smith,Texas,48117,1,0
2020-03-23,Oldham,Texas,48359,1,0
2020-03-23,Potter,Texas,48375,2,0
2020-03-24,Castro,Texas,48069,2,0
2020-03-24,Deaf Smith,Texas,48117,2,0
2020-03-24,Oldham,Texas,48359,1,0
2020-03-24,Potter,Texas,48375,2,0
2020-03-25,Castro,Texas,48069,3,0
2020-03-25,Deaf Smith,Texas,48117,2,0
2020-03-25,Oldham,Texas,48359,1,1
2020-03-25,Potter,Texas,48375,2,0
2020-03-26,Castro,Texas,48069,6,0
2020-03-26,Deaf Smith,Texas,48117,2,0
2020-03-26,Oldham,Texas,48359,1,1
2020-03-26,Potter,Texas,48375,2,0
2020-03-27,Castro,Texas,48069,7,0
2020-03-27,Deaf Smith,Texas,48117,2,0
2020-03-27,Oldham,Texas,48359,1,1
2020-03-27,Potter,Texas,48375,2,0
2020-03-27,Randall,Texas,48381,3,0
2020-03-28,Castro,Texas,48069,8,0
2020-03-28,Deaf Smith,Texas,48117,2,0
2020-03-28,Oldham,Texas,48359,1,1
2020-03-28,Potter,Texas,48375,2,0
2020-03-28,Randall,Texas,48381,3,0
2020-03-29,Castro,Texas,48069,8,0
2020-03-29,Deaf Smith,Texas,48117,2,0
2020-03-29,Oldham,Texas,48359,2,1
2020-03-29,Potter,Texas,48375,4,0
2020-03-29,Randall,Texas,48381,3,0
2020-03-29,Swisher,Texas,48437,1,0
2020-03-30,Castro,Texas,48069,8,0
2020-03-30,Deaf Smith,Texas,48117,2,0
2020-03-30,Moore,Texas,48341,1,0
2020-03-30,Oldham,Texas,48359,2,1
2020-03-30,Potter,Texas,48375,5,0
2020-03-30,Randall,Texas,48381,6,0
2020-03-30,Swisher,Texas,48437,1,0
2020-03-31,Castro,Texas,48069,8,0
2020-03-31,Deaf Smith,Texas,48117,2,0
2020-03-31,Moore,Texas,48341,1,0
2020-03-31,Oldham,Texas,48359,2,1
2020-03-31,Potter,Texas,48375,5,0
2020-03-31,Randall,Texas,48381,6,0
2020-03-31,Swisher,Texas,48437,1,0
2020-04-01,Castro,Texas,48069,8,0
2020-04-01,Deaf Smith,Texas,48117,2,0
2020-04-01,Gray,Texas,48179,1,0
2020-04-01,Moore,Texas,48341,1,0
2020-04-01,Oldham,Texas,48359,2,1
2020-04-01,Potter,Texas,48375,16,0
2020-04-01,Randall,Texas,48381,17,0
2020-04-01,Swisher,Texas,48437,1,0
2020-04-02,Castro,Texas,48069,8,0
2020-04-02,Deaf Smith,Texas,48117,2,0
2020-04-02,Donley,Texas,48129,1,0
2020-04-02,Gray,Texas,48179,1,0
2020-04-02,Moore,Texas,48341,6,0
2020-04-02,Oldham,Texas,48359,2,1
2020-04-02,Potter,Texas,48375,16,0
2020-04-02,Randall,Texas,48381,17,0
2020-04-02,Swisher,Texas,48437,1,0
2020-04-03,Castro,Texas,48069,9,0
2020-04-03,Deaf Smith,Texas,48117,3,0
2020-04-03,Donley,Texas,48129,5,0
2020-04-03,Gray,Texas,48179,1,0
2020-04-03,Moore,Texas,48341,6,0
2020-04-03,Oldham,Texas,48359,2,1
2020-04-03,Potter,Texas,48375,21,0
2020-04-03,Randall,Texas,48381,21,0
2020-04-03,Swisher,Texas,48437,1,0
2020-04-04,Castro,Texas,48069,10,1
2020-04-04,Deaf Smith,Texas,48117,5,0
2020-04-04,Donley,Texas,48129,5,0
2020-04-04,Gray,Texas,48179,5,0
2020-04-04,Hemphill,Texas,48211,1,0
2020-04-04,Hutchinson,Texas,48233,2,0
2020-04-04,Moore,Texas,48341,6,0
2020-04-04,Oldham,Texas,48359,2,1
2020-04-04,Potter,Texas,48375,24,0
2020-04-04,Randall,Texas,48381,24,0
2020-04-04,Swisher,Texas,48437,1,0
2020-04-05,Castro,Texas,48069,10,1
2020-04-05,Deaf Smith,Texas,48117,5,0
2020-04-05,Donley,Texas,48129,7,0
2020-04-05,Gray,Texas,48179,5,0
2020-04-05,Hemphill,Texas,48211,1,0
2020-04-05,Hutchinson,Texas,48233,2,0
2020-04-05,Moore,Texas,48341,6,0
2020-04-05,Oldham,Texas,48359,2,1
2020-04-05,Potter,Texas,48375,40,1
2020-04-05,Randall,Texas,48381,34,0
2020-04-05,Swisher,Texas,48437,1,0
2020-04-06,Castro,Texas,48069,10,1
2020-04-06,Deaf Smith,Texas,48117,5,0
2020-04-06,Donley,Texas,48129,7,0
2020-04-06,Gray,Texas,48179,5,0
2020-04-06,Hemphill,Texas,48211,1,0
2020-04-06,Hutchinson,Texas,48233,2,0
2020-04-06,Moore,Texas,48341,6,0
2020-04-06,Oldham,Texas,48359,2,1
2020-04-06,Potter,Texas,48375,41,1
2020-04-06,Randall,Texas,48381,36,2
2020-04-06,Swisher,Texas,48437,1,0
2020-04-07,Castro,Texas,48069,10,1
2020-04-07,Dallam,Texas,48111,1,0
2020-04-07,Deaf Smith,Texas,48117,7,0
2020-04-07,Donley,Texas,48129,7,0
2020-04-07,Gray,Texas,48179,9,0
2020-04-07,Hansford,Texas,48195,1,0
2020-04-07,Hemphill,Texas,48211,1,0
2020-04-07,Hutchinson,Texas,48233,2,0
2020-04-07,Moore,Texas,48341,7,0
2020-04-07,Oldham,Texas,48359,3,1
2020-04-07,Potter,Texas,48375,41,1
2020-04-07,Randall,Texas,48381,36,2
2020-04-07,Swisher,Texas,48437,1,0
2020-04-08,Castro,Texas,48069,10,1
2020-04-08,Dallam,Texas,48111,1,0
2020-04-08,Deaf Smith,Texas,48117,7,0
2020-04-08,Donley,Texas,48129,7,0
2020-04-08,Gray,Texas,48179,9,0
2020-04-08,Hansford,Texas,48195,1,0
2020-04-08,Hemphill,Texas,48211,1,0
2020-04-08,Hutchinson,Texas,48233,2,0
2020-04-08,Moore,Texas,48341,7,0
2020-04-08,Oldham,Texas,48359,3,1
2020-04-08,Potter,Texas,48375,47,1
2020-04-08,Randall,Texas,48381,40,2
2020-04-08,Swisher,Texas,48437,1,0
2020-04-09,Castro,Texas,48069,10,1
2020-04-09,Dallam,Texas,48111,1,0
2020-04-09,Deaf Smith,Texas,48117,7,0
2020-04-09,Donley,Texas,48129,14,0
2020-04-09,Gray,Texas,48179,12,0
2020-04-09,Hansford,Texas,48195,1,0
2020-04-09,Hemphill,Texas,48211,1,0
2020-04-09,Hutchinson,Texas,48233,2,0
2020-04-09,Moore,Texas,48341,15,0
2020-04-09,Oldham,Texas,48359,3,1
2020-04-09,Potter,Texas,48375,58,1
2020-04-09,Randall,Texas,48381,52,2
2020-04-09,Swisher,Texas,48437,2,0
2020-04-10,Castro,Texas,48069,10,1
2020-04-10,Dallam,Texas,48111,1,0
